Rio de Janeiro | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Receitas realizadas - R$ (&times;1000) [2022],Despesas empenhadas - R$ (&times;1000) [2022],PIB per capita - R$ [2021],
Cordeiro,3301504,cordeirense,LEONAN LOPES MELHORANCE,113.048,20783,183.84,97.6,0.729,8.66,154181401.7,162280841.3,20592.99,
Duas Barras,3301603,bibarrense,FABR&Iacute;CIO LUIZ LIMA AYRES,379.619,10980,28.92,97.8,0.659,42.25,97548268.39,79305277.6,21553.24,
Duque de Caxias,3301702,caxiense,WASHINGTON REIS DE OLIVEIRA,467.319,808161,1729.36,96.1,0.711,15.62,4432566332,4566621664,57170.07,
Engenheiro Paulo de Frontin,3301801,fronteense,JOS&Eacute; EMMANOEL RODRIGUES ARTEMENKO,139.381,12242,87.83,98.5,0.722,31.5,112646012.8,121172852.6,28769.59,
Guapimirim,3301850,guapimiriense,MARINA PEREIRA DA ROCHA FERNANDEZ,358.443,51696,144.22,97.6,0.698,10.36,465794299.6,449068891.8,21920.68,
Iguaba Grande,3301876,iguabense,VANTOIL MEDEIROS MARTINS,50.977,27920,547.70,98.1,0.761,12.12,376682339.6,395938267.4,21517.5,
Itabora&iacute;,3301900,itaboraiense,MARCELO JANDRE DELAROLI,429.961,224267,521.60,97.1,0.693,9.44,1026461543,1084529334,23078.43,
Itagua&iacute;,3302007,itaguaiense,RUBEM VIEIRA DE SOUZA,282.606,116841,413.44,97.6,0.715,10.42,996892945,1028448671,76916.73,
Italva,3302056,italvense,LEONARDO ORATO RANGEL,291.193,14073,48.33,98.6,0.688,-,132105213.7,122981095.5,27215.6,
Itaocara,3302106,itaocarense,HERIBERTO PEREIRA DE OLIVEIRA,433.182,22919,52.91,99.6,0.713,12.55,143001885.7,144725384.1,27396.34,
Itaperuna,3302205,itaperunense,ALFREDO PAULO MARQUES RODRIGUES,1106.694,101041,91.30,96.1,0.730,12.59,514852700.7,485113643.5,32533.22,
Itatiaia,3302254,itatiaiense,IRINEU NOGUEIRA COELHO,241.035,30908,128.23,98.2,0.737,21,386526955.1,363288823,213339.67,
Japeri,3302270,japeriense,FERNANDA MACHADO ONTIVEROS,81.697,96289,1178.61,96.6,0.659,17.56,366761094.7,414412689.3,14395.69,
Laje do Muria&eacute;,3302304,lajense,EUDOCIO MOREIRA CARDOZO,253.530,7336,28.94,98,0.668,-,88479925.84,80674335.1,25235.04,
Maca&eacute;,3302403,macaense,WELBERTH PORTO DE REZENDE,1216.989,246391,202.46,96.9,0.764,14.66,3949268272,2802072767,66684.01,
Macuco,3302452,macuquense,BRUNO ALVES BOARETTO,78.364,5415,69.10,97.7,0.703,10.31,81968414.08,75154115.89,38057.84,
Mag&eacute;,3302502,mageense,RENATO COZZOLINO HARB,390.775,228127,583.78,97.7,0.709,15.46,912134753.2,1186191050,19237.2,
Mangaratiba,3302601,mangaratibano,ALAN CAMPOS DA COSTA,367.606,41220,112.13,96.7,0.753,14.86,585167526.8,599477797.4,69913.59,
Maric&aacute;,3302700,maricaense,FABIANO TAQUES HORTA,361.572,197277,545.61,96.4,0.765,9.85,6351689732,6073477909,511810.82,
Mendes,3302809,mendense,JORGE HENRIQUE COSTA DE OLIVEIRA,95.324,17502,183.61,99.3,0.736,13.79,146168376.1,146390848.3,19147.47,
Mesquita,3302858,mesquitnese,JORGE LUCIO FERREIRA MIRANDA,41.169,167127,4059.54,97.9,0.737,13.05,605572509,568570126.4,14796.57,
Miguel Pereira,3302908,miguelense,ANDR&Eacute; PINTO DE AFONSECA,287.933,26582,92.32,98.6,0.745,8.2,300543321.9,326025662.6,24686.21,
Miracema,3303005,miracemense,CL&Oacute;VIS TOSTES DE BARROS,303.270,26881,88.64,97.5,0.713,2.84,180104706.5,188971597.3,24404.52,
Natividade,3303104,natividadense,SEVERIANO ANTONIO DOS SANTOS REZENDE,387.073,15074,38.94,98.6,0.730,6.13,95854782.07,144694963.9,21186.94,
