"controle";"tipo_ocorrencia";"base";"data_fato";"mês";"ano"
"16771591-2021";"Estelionato";"Laranjeiras";2021-09-21 00:00:00;"Setembro";2021
"23454751-2021";"Apreensão de celular";"Bangu";2021-09-21 00:00:00;"Setembro";2021
"38840401-2021";"Apreensão de celular";"Copacabana";2021-09-21 00:00:00;"Setembro";2021
"35797271-2021";"Estelionato";"Centro";2021-09-21 00:00:00;"Setembro";2021
"29723741-2021";"Posse e uso";"Recreio";2021-09-21 00:00:00;"Setembro";2021
"16426601-2021";"Posse e uso";"Recreio";2021-09-21 00:00:00;"Setembro";2021
"31406801-2021";"Receptação";"Barra";2021-09-21 00:00:00;"Setembro";2021
"55732191-2021";"Posse e uso";"Recreio";2021-09-21 00:00:00;"Setembro";2021
"17938851-2021";"Apreensão de celular";"Laranjeiras";2021-09-21 00:00:00;"Setembro";2021
"57507431-2021";"Mandado de prisão";"Nova Iguaçu";2021-09-21 00:00:00;"Setembro";2021
"44025801-2021";"Receptação";"São Gonçalo";2021-09-21 00:00:00;"Setembro";2021
"82362731-2021";"Recuperação de veículo";"Lapa";2021-09-21 00:00:00;"Setembro";2021
"95327551-2021";"Recuperação de veículo";"Japeri";2021-09-21 00:00:00;"Setembro";2021
"16323781-2021";"Furto";"Ipanema";2021-09-21 00:00:00;"Setembro";2021
"10840401-2021";"Posse e uso";"Barra";2021-09-22 00:00:00;"Setembro";2021
"59132291-2021";"Furto de aparelho de celular";"Copacabana";2021-09-22 00:00:00;"Setembro";2021
"33326931-2021";"Desacato";"Ipanema";2021-09-22 00:00:00;"Setembro";2021
"18153231-2021";"Furto a estabelecimento comercial";"Recreio";2021-09-22 00:00:00;"Setembro";2021
"25606461-2021";"Furto";"Japeri";2021-09-22 00:00:00;"Setembro";2021
"14300231-2021";"Posse e uso";"Japeri";2021-09-22 00:00:00;"Setembro";2021
"45400201-2021";"Mandado de prisão";"Niterói";2021-09-22 00:00:00;"Setembro";2021
"52529291-2021";"Apreensão de drogas";"Copacabana";2021-09-22 00:00:00;"Setembro";2021
"78489431-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-09-22 00:00:00;"Setembro";2021
"52956391-2021";"Posse e uso";"Recreio";2021-09-22 00:00:00;"Setembro";2021
"53961581-2021";"Receptação";"São Gonçalo";2021-09-22 00:00:00;"Setembro";2021
"16296921-2021";"Receptação";"São Gonçalo";2021-09-22 00:00:00;"Setembro";2021
"43766241-2021";"Roubo de veículo";"Niterói";2021-09-23 00:00:00;"Setembro";2021
"59190771-2021";"Apreensão de veículo";"Magé E Piabetá";2021-09-23 00:00:00;"Setembro";2021
"42608001-2021";"Apreensão de veículo";"Barra";2021-09-23 00:00:00;"Setembro";2021
"86626511-2021";"Posse e uso";"Copacabana";2021-09-23 00:00:00;"Setembro";2021
"07881471-2021";"Roubo de carga";"Niterói";2021-09-23 00:00:00;"Setembro";2021
"95499361-2021";"Mandado de prisão";"Centro";2021-09-23 00:00:00;"Setembro";2021
"52042061-2021";"Desacato";"Miguel Pereira";2021-09-23 00:00:00;"Setembro";2021
"87105421-2021";"Furto a estabelecimento comercial";"Barra";2021-09-23 00:00:00;"Setembro";2021
"22665551-2021";"Furto a estabelecimento comercial";"Nova Iguaçu";2021-09-23 00:00:00;"Setembro";2021
"66750861-2021";"Receptação";"Niterói";2021-09-23 00:00:00;"Setembro";2021
"48854602-2021";"Furto a estabelecimento comercial";"Bangu";2021-09-23 00:00:00;"Setembro";2021
"15124601-2021";"Apreensão de material";"Nova Iguaçu";2021-09-23 00:00:00;"Setembro";2021
"02869011-2021";"Furto a estabelecimento comercial";"Niterói";2021-09-23 00:00:00;"Setembro";2021
"61357561-2021";"Apreensão de material";"Itaguaí";2021-09-23 00:00:00;"Setembro";2021
"68432251-2021";"Fraudes";"Lapa";2021-09-23 00:00:00;"Setembro";2021
"34666191-2021";"Dirigir sem cnh";"São Gonçalo";2021-09-23 00:00:00;"Setembro";2021
"71605401-2021";"Desobediência";"São Gonçalo";2021-09-23 00:00:00;"Setembro";2021
"57140981-2021";"Simulacro";"Itaguaí";2021-09-23 00:00:00;"Setembro";2021
"69663791-2021";"Roubo a transeunte";"São Gonçalo";2021-09-24 00:00:00;"Setembro";2021
NA;"Mandado de prisão";"Niterói";2021-09-24 00:00:00;"Setembro";NA
"89076961-2021";"Mandado de prisão";"Magé E Piabetá";2021-09-24 00:00:00;"Setembro";2021
"85572821-2021";"Porte de arma branca";"Copacabana";2021-09-24 00:00:00;"Setembro";2021
"70822291-2021";"Apreensão de material";"Méier";2021-09-24 00:00:00;"Setembro";2021
"61256711-2021";"Furto a estabelecimento comercial";"Copacabana";2021-09-24 00:00:00;"Setembro";2021
"69514461-2021";"Furto de bicicleta";"Botafogo";2021-09-24 00:00:00;"Setembro";2021
"47131161-2021";"Tráfico de drogas";"Copacabana";2021-09-24 00:00:00;"Setembro";2021
"55004341-2021";"Furto a estabelecimento comercial";"Nova Iguaçu";2021-09-24 00:00:00;"Setembro";2021
"71680921-2021";"Posse e uso";"Centro";2021-09-24 00:00:00;"Setembro";2021
"05283551-2021";"Documento falso";"Barra";2021-09-24 00:00:00;"Setembro";2021
"81021251-2021";"Posse e uso";"Recreio";2021-09-24 00:00:00;"Setembro";2021
"97371241-2021";"Posse e uso";"Laranjeiras";2021-09-24 00:00:00;"Setembro";2021
"98183731-2021";"Furto de aparelho de celular";"Centro";2021-09-24 00:00:00;"Setembro";2021
"42076251-2021";"Encontro de pessoas";"São Gonçalo";2021-09-24 00:00:00;"Setembro";2021
"73971411-2021";"Mandado de prisão";"Belford Roxo";2021-09-24 00:00:00;"Setembro";2021
"50692051-2021";"Receptação";"Méier";2021-09-24 00:00:00;"Setembro";2021
"50758981-2021";"Posse e uso";"Copacabana";2021-09-24 00:00:00;"Setembro";2021
"88250601-2021";"Apreensão de material";"Centro";2021-09-24 00:00:00;"Setembro";2021
"82131161-2021";"Furto";"Ipanema";2021-09-24 00:00:00;"Setembro";2021
"22387781-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-09-24 00:00:00;"Setembro";2021
"58286901-2021";"Furto a transeunte";"Copacabana";2021-09-24 00:00:00;"Setembro";2021
"87056011-2021";"Furto a transeunte";"Copacabana";2021-09-24 00:00:00;"Setembro";2021
"07721081-2021";"Tráfico de drogas";"Copacabana";2021-09-25 00:00:00;"Setembro";2021
"25185741-2021";"Furto";"Barra";2021-09-25 00:00:00;"Setembro";2021
"37702111-2021";"Furto";"Laranjeiras";2021-09-25 00:00:00;"Setembro";2021
"42746311-2021";"Posse e uso";"Recreio";2021-09-25 00:00:00;"Setembro";2021
"48160831-2021";"Receptação";"Copacabana";2021-09-25 00:00:00;"Setembro";2021
"83266111-2021";"Mandado de prisão";"Copacabana";2021-09-25 00:00:00;"Setembro";2021
"62124081-2021";"Posse e uso";"Recreio";2021-09-25 00:00:00;"Setembro";2021
"72759001-2021";"Apreensão de drogas";"Paracambi";2021-09-25 00:00:00;"Setembro";2021
"60661411-2021";"Apreensão de material";"Recreio";2021-09-25 00:00:00;"Setembro";2021
"29588661-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-09-25 00:00:00;"Setembro";2021
"50819091-2021";"Posse e uso";"Barra";2021-09-25 00:00:00;"Setembro";2021
"60948341-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-09-25 00:00:00;"Setembro";2021
"92527121-2021";"Furto a estabelecimento comercial";"Caxias";2021-09-25 00:00:00;"Setembro";2021
"37027192-2021";"Mandado de prisão";"Paracambi";2021-09-25 00:00:00;"Setembro";2021
"97218501-2021";"Posse e uso";"Recreio";2021-09-25 00:00:00;"Setembro";2021
"61766841-2021";"Furto de aparelho de celular";"Lapa";2021-09-25 00:00:00;"Setembro";2021
"91311751-2021";"Furto";"Lapa";2021-09-25 00:00:00;"Setembro";2021
"09557011-2021";"Fato atípico";"São Gonçalo";2021-09-25 00:00:00;"Setembro";2021
"43005811-2021";"Receptação";"São Gonçalo";2021-09-25 00:00:00;"Setembro";2021
"10935101-2021";"Receptação";"Japeri";2021-09-25 00:00:00;"Setembro";2021
"42507491-2021";"Adulteração do sinal identificador de veículo";"Japeri";2021-09-25 00:00:00;"Setembro";2021
"30196671-2021";"Lesão corporal dolosa";"Copacabana";2021-09-26 00:00:00;"Setembro";2021
"38634431-2021";"Apreensão de material";"Lapa";2021-09-26 00:00:00;"Setembro";2021
"79027781-2021";"Furto a estabelecimento comercial";"Recreio";2021-09-26 00:00:00;"Setembro";2021
"28942781-2021";"Apreensão de material";"Copacabana";2021-09-26 00:00:00;"Setembro";2021
"01914621-2021";"Exercício ilegal da profissão";"Barra";2021-09-26 00:00:00;"Setembro";2021
"35525201-2021";"Furto a estabelecimento comercial";"Copacabana";2021-09-26 00:00:00;"Setembro";2021
"50784971-2021";"Exercício ilegal da profissão";"Barra";2021-09-26 00:00:00;"Setembro";2021
"90878141-2021";"Posse e uso";"Miguel Pereira";2021-09-26 00:00:00;"Setembro";2021
"68043971-2021";"Posse e uso";"Centro";2021-09-26 00:00:00;"Setembro";2021
"66782431-2021";"Roubo a transeunte";"Centro";2021-09-26 00:00:00;"Setembro";2021
"08100151-2021";"Tráfico de drogas";"Niterói";2021-09-26 00:00:00;"Setembro";2021
"79469721-2021";"Fato atípico";"Méier";2021-09-27 00:00:00;"Setembro";2021
"48966361-2021";"Recuperação de veículo";"São Gonçalo";2021-09-27 00:00:00;"Setembro";2021
"97122781-2021";"Resistência";"Niterói";2021-09-27 00:00:00;"Setembro";2021
"41870241-2021";"Estelionato";"Copacabana";2021-09-27 00:00:00;"Setembro";2021
"71393351-2021";"Injúria";"Copacabana";2021-09-27 00:00:00;"Setembro";2021
NA;"Posse e uso";"Recreio";2021-09-27 00:00:00;"Setembro";NA
"23119951-2021";"Apreensão de drogas";"Grajaú E Vila Isabel";2021-09-27 00:00:00;"Setembro";2021
"37347431-2021";"Posse e uso";"Barra";2021-09-27 00:00:00;"Setembro";2021
"39269461-2021";"Mandado de prisão";"Nova Iguaçu";2021-09-27 00:00:00;"Setembro";2021
"92702321-2021";"Apreensão de drogas";"Grajaú E Vila Isabel";2021-09-27 00:00:00;"Setembro";2021
"20802521-2021";"Posse e uso";"Recreio";2021-09-27 00:00:00;"Setembro";2021
"17306371-2021";"Roubo a transeunte";"Lapa";2021-09-27 00:00:00;"Setembro";2021
"32634291-2021";"Furto";"Ipanema";2021-09-27 00:00:00;"Setembro";2021
"19223361-2021";"Captura de evadido";"Copacabana";2021-09-27 00:00:00;"Setembro";2021
"29489141-2021";"Furto";"Tijuca";2021-09-28 00:00:00;"Setembro";2021
"37402681-2021";"Posse e uso";"Japeri";2021-09-28 00:00:00;"Setembro";2021
"94877861-2021";"Fraudes";"Laranjeiras";2021-09-28 00:00:00;"Setembro";2021
"00685101-2021";"Direção perigosa";"Caxias";2021-09-28 00:00:00;"Setembro";2021
"43994731-2021";"Mandado de prisão";"Barra";2021-09-28 00:00:00;"Setembro";2021
"07648071-2021";"Mandado de prisão";"Centro";2021-09-28 00:00:00;"Setembro";2021
"31970441-2021";"Posse e uso";"Bangu";2021-09-28 00:00:00;"Setembro";2021
"79818171-2021";"Furto";"Centro";2021-09-28 00:00:00;"Setembro";2021
"52360301-2021";"Apreensão de veículo";"São Gonçalo";2021-09-28 00:00:00;"Setembro";2021
"14700021-2021";"Apreensão de veículo";"Austin";2021-09-28 00:00:00;"Setembro";2021
"00802011-2021";"Furto a estabelecimento comercial";"Nova Iguaçu";2021-09-29 00:00:00;"Setembro";2021
"68911721-2021";"Posse e uso";"Japeri";2021-09-29 00:00:00;"Setembro";2021
"54386131-2021";"Apreensão de celular";"Lagoa";2021-09-29 00:00:00;"Setembro";2021
"55971971-2021";"Mandado de prisão";"Caxias";2021-09-29 00:00:00;"Setembro";2021
"39560921-2021";"Mandado de prisão";"Recreio";2021-09-29 00:00:00;"Setembro";2021
"07744452-2021";"Furto a estabelecimento comercial";"Méier";2021-09-29 00:00:00;"Setembro";2021
"19537851-2021";"Mandado de prisão";"Nova Iguaçu";2021-09-29 00:00:00;"Setembro";2021
"85609141-2021";"Mandado de prisão";"Copacabana";2021-09-29 00:00:00;"Setembro";2021
"20956342-2021";"Posse e uso";"Miguel Pereira";2021-09-29 00:00:00;"Setembro";2021
"47792881-2021";"Furto a estabelecimento comercial";"Tijuca";2021-09-29 00:00:00;"Setembro";2021
"22949311-2021";"Furto";"Copacabana";2021-09-30 00:00:00;"Setembro";2021
"33096591-2021";"Apreensão de celular";"Laranjeiras";2021-09-30 00:00:00;"Setembro";2021
"92112471-2021";"Apreensão de material";"São Gonçalo";2021-09-30 00:00:00;"Setembro";2021
"53915341-2021";"Ameaça";"Nova Iguaçu";2021-09-30 00:00:00;"Setembro";2021
"47527641-2021";"Apreensão de material";"Copacabana";2021-09-30 00:00:00;"Setembro";2021
"52680801-2021";"Posse e uso";"Recreio";2021-09-30 00:00:00;"Setembro";2021
"35317241-2021";"Apreensão de material";"Centro";2021-09-30 00:00:00;"Setembro";2021
"42579301-2021";"Posse e uso";"Laranjeiras";2021-09-30 00:00:00;"Setembro";2021
"26702701-2021";"Mandado de prisão";"Laranjeiras";2021-09-30 00:00:00;"Setembro";2021
"68124631-2021";"Apreensão de veículo";"São Gonçalo";2021-09-30 00:00:00;"Setembro";2021
"49743042-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-09-30 00:00:00;"Setembro";2021
"81494401-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-09-30 00:00:00;"Setembro";2021
"96699321-2021";"Furto de veículo";"São Gonçalo";2021-09-30 00:00:00;"Setembro";2021
"19125321-2021";"Porte de arma branca";"Laranjeiras";2021-09-30 00:00:00;"Setembro";2021
"47110541-2021";"Receptação";"São Gonçalo";2021-09-30 00:00:00;"Setembro";2021
"28073821-2021";"Posse e uso";"Japeri";2021-09-30 00:00:00;"Setembro";2021
"86376931-2021";"Dirigir sem cnh";"Itaguaí";2021-09-30 00:00:00;"Setembro";2021
NA;"Receptação";"São Gonçalo";2021-09-30 00:00:00;"Setembro";NA
NA;"Posse e uso";"Paracambi";2021-09-30 00:00:00;"Setembro";NA
"78419041-2021";"Roubo a transeunte";"Lagoa";2021-09-30 00:00:00;"Setembro";2021
"82234761-2021";"Roubo";"Grajaú E Vila Isabel";2021-09-30 00:00:00;"Setembro";2021
"30888081-2021";"Mandado de prisão";"Barra";2021-10-01 00:00:00;"Outubro";2021
"64943401-2021";"Mandado de prisão";"Barra";2021-10-01 00:00:00;"Outubro";2021
"32297051-2021";"Posse e uso";"Recreio";2021-10-01 00:00:00;"Outubro";2021
"89513101-2021";"Furto de aparelho de celular";"Laranjeiras";2021-10-01 00:00:00;"Outubro";2021
"72054941-2021";"Recuperação de veículo";"Caxias";2021-10-01 00:00:00;"Outubro";2021
"56270991-2021";"Roubo no interior de veiculo";"Méier";2021-10-01 00:00:00;"Outubro";2021
"41061732-2021";"Apreensão de celular";"Ipanema";2021-10-01 00:00:00;"Outubro";2021
"64218091-2021";"Apreensão de material";"Itaguaí";2021-10-01 00:00:00;"Outubro";2021
"91361151-2021";"Posse e uso";"Recreio";2021-10-01 00:00:00;"Outubro";2021
"81900171-2021";"Apreensão de material";"Grajaú E Vila Isabel";2021-10-01 00:00:00;"Outubro";2021
"25393241-2021";"Furto a estabelecimento comercial";"Belford Roxo";2021-10-01 00:00:00;"Outubro";2021
"12159421-2021";"Apreensão de celular";"Laranjeiras";2021-10-01 00:00:00;"Outubro";2021
"60222131-2021";"Apreensão de celular";"Leblon";2021-10-01 00:00:00;"Outubro";2021
"27977472-2021";"Roubo a transeunte";"São Gonçalo";2021-10-01 00:00:00;"Outubro";2021
"98612051-2021";"Apreensão de celular";"São Gonçalo";2021-10-01 00:00:00;"Outubro";2021
"80879961-2021";"Posse e uso";"Niterói";2021-10-01 00:00:00;"Outubro";2021
"99202171-2021";"Posse e uso";"Niterói";2021-10-01 00:00:00;"Outubro";2021
"93232041-2021";"Adulteração do sinal identificador de veículo";"Japeri";2021-10-01 00:00:00;"Outubro";2021
"27556081-2021";"Apreensão de veículo";"Copacabana";2021-10-02 00:00:00;"Outubro";2021
"15994351-2021";"Furto";"Austin";2021-10-02 00:00:00;"Outubro";2021
"49051661-2021";"Agressão";"Paracambi";2021-10-02 00:00:00;"Outubro";2021
"85147611-2021";"Posse e uso";"São Gonçalo";2021-10-02 00:00:00;"Outubro";2021
"88122491-2021";"Vias de fato";"Copacabana";2021-10-02 00:00:00;"Outubro";2021
"97721341-2021";"Furto";"Grajaú E Vila Isabel";2021-10-02 00:00:00;"Outubro";2021
"52339881-2021";"Ameaça";"Japeri";2021-10-02 00:00:00;"Outubro";2021
"19037641-2021";"Posse e uso";"Ipanema";2021-10-02 00:00:00;"Outubro";2021
"25468002-2021";"Apreensão de drogas";"Grajaú E Vila Isabel";2021-10-02 00:00:00;"Outubro";2021
"14373801-2021";"Lesão corporal culposa de trânsito";"Barra";2021-10-02 00:00:00;"Outubro";2021
"49704591-2021";"Apreensão de drogas";"Grajaú E Vila Isabel";2021-10-02 00:00:00;"Outubro";2021
"18016621-2021";"Mandado de prisão";"Caxias";2021-10-02 00:00:00;"Outubro";2021
"41465801-2021";"Roubo a transeunte";"Laranjeiras";2021-10-02 00:00:00;"Outubro";2021
"88285421-2020";"Receptação";"Laranjeiras";2021-10-02 00:00:00;"Outubro";2020
"52523151-2021";"Recuperação de veículo";"São Gonçalo";2021-10-02 00:00:00;"Outubro";2021
"78741552-2021";"Direção perigosa";"Barra";2021-10-02 00:00:00;"Outubro";2021
"68578461-2021";"Apreensão de celular";"Lapa";2021-10-02 00:00:00;"Outubro";2021
"74124271-2021";"Furto";"Lapa";2021-10-02 00:00:00;"Outubro";2021
"52021811-2021";"Roubo de aparelho celular";"Lapa";2021-10-02 00:00:00;"Outubro";2021
"24637971-2021";"Posse e uso";"São Gonçalo";2021-10-02 00:00:00;"Outubro";2021
NA;"Roubo a transeunte";"Laranjeiras";2021-10-02 00:00:00;"Outubro";NA
"41999762-2021";"Furto";"Japeri";2021-10-02 00:00:00;"Outubro";2021
"13008031-2021";"Posse e uso";"Japeri";2021-10-02 00:00:00;"Outubro";2021
"18369121-2021";"Apreensão de material";"Niterói";2021-10-03 00:00:00;"Outubro";2021
"91015161-2021";"Mandado de prisão";"Magé E Piabetá";2021-10-03 00:00:00;"Outubro";2021
"54716291-2021";"Receptação";"Recreio";2021-10-03 00:00:00;"Outubro";2021
"44405711-2021";"Apreensão de material";"Ipanema";2021-10-03 00:00:00;"Outubro";2021
"67329641-2021";"Acidente de trânsito";"Niterói";2021-10-03 00:00:00;"Outubro";2021
"17642211-2021";"Tráfico de drogas";"Laranjeiras";2021-10-03 00:00:00;"Outubro";2021
"84952761-2021";"Mandado de prisão";"Belford Roxo";2021-10-03 00:00:00;"Outubro";2021
"37482621-2021";"Posse e uso";"Recreio";2021-10-03 00:00:00;"Outubro";2021
"06691651-2021";"Posse e uso";"Laranjeiras";2021-10-03 00:00:00;"Outubro";2021
"58293911-2021";"Posse e uso";"Recreio";2021-10-03 00:00:00;"Outubro";2021
"32059711-2021";"Posse e uso";"Recreio";2021-10-03 00:00:00;"Outubro";2021
"61636941-2021";"Posse e uso";"Recreio";2021-10-03 00:00:00;"Outubro";2021
"69148611-2021";"Apreensão de celular";"Ipanema";2021-10-03 00:00:00;"Outubro";2021
"40056861-2021";"Posse e uso";"Botafogo";2021-10-03 00:00:00;"Outubro";2021
"12747141-2021";"Exercício ilegal da profissão";"Recreio";2021-10-03 00:00:00;"Outubro";2021
"71983071-2021";"Posse e uso";"Itaguaí";2021-10-03 00:00:00;"Outubro";2021
"18535031-2021";"Posse e uso";"Recreio";2021-10-03 00:00:00;"Outubro";2021
"07576331-2021";"Posse e uso";"Laranjeiras";2021-10-03 00:00:00;"Outubro";2021
"00499801-2021";"Posse e uso";"Recreio";2021-10-03 00:00:00;"Outubro";2021
"22843001-2021";"Fato atípico";"Centro";2021-10-03 00:00:00;"Outubro";2021
"85343911-2021";"Posse e uso";"Recreio";2021-10-03 00:00:00;"Outubro";2021
NA;"Captura de evadido";"Niterói";2021-10-03 00:00:00;"Outubro";NA
"35948751-2021";"Mandado de prisão";"Itaguaí";2021-10-04 00:00:00;"Outubro";2021
"37801211-2021";"Receptação";"Lagoa";2021-10-04 00:00:00;"Outubro";2021
"63905221-2021";"Receptação";"Japeri";2021-10-04 00:00:00;"Outubro";2021
"45245741-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-10-04 00:00:00;"Outubro";2021
"88059251-2021";"Lesão corporal dolosa";"Tijuca";2021-10-04 00:00:00;"Outubro";2021
"67060111-2021";"Posse e uso";"Botafogo";2021-10-04 00:00:00;"Outubro";2021
"78586161-2021";"Posse e uso";"Botafogo";2021-10-04 00:00:00;"Outubro";2021
"35196061-2021";"Roubo a transeunte";"Barra";2021-10-04 00:00:00;"Outubro";2021
"84239041-2021";"Homicídio doloso";"Paracambi";2021-10-04 00:00:00;"Outubro";2021
NA;"Captura de evadido";"Belford Roxo";2021-10-04 00:00:00;"Outubro";NA
"98147731-2021";"Receptação";"São Gonçalo";2021-10-04 00:00:00;"Outubro";2021
"75455191-2021";"Adulteração do sinal identificador de veículo";"São Gonçalo";2021-10-04 00:00:00;"Outubro";2021
"32664701-2021";"Furto";"Lapa";2021-10-04 00:00:00;"Outubro";2021
"04638121-2021";"Furto";"Ipanema";2021-10-05 00:00:00;"Outubro";2021
"97361971-2021";"Receptação";"Bangu";2021-10-05 00:00:00;"Outubro";2021
"19335121-2021";"Apreensão de drogas";"Grajaú E Vila Isabel";2021-10-05 00:00:00;"Outubro";2021
"10903361-2021";"Furto";"Nova Iguaçu";2021-10-05 00:00:00;"Outubro";2021
"66855481-2021";"Lesão corporal dolosa";"Nova Iguaçu";2021-10-05 00:00:00;"Outubro";2021
"24704031-2021";"Mandado de prisão";"Caxias";2021-10-05 00:00:00;"Outubro";2021
"67318611-2021";"Apreensão de material";"Nova Iguaçu";2021-10-05 00:00:00;"Outubro";2021
"93004171-2021";"Apreensão de veículo";"Austin";2021-10-05 00:00:00;"Outubro";2021
"71902901-2021";"Apreensão de material";"Laranjeiras";2021-10-05 00:00:00;"Outubro";2021
"37926751-2021";"Apreensão de material";"Laranjeiras";2021-10-05 00:00:00;"Outubro";2021
"73608781-2021";"Mandado de prisão";"Lagoa";2021-10-05 00:00:00;"Outubro";2021
"29340981-2021";"Posse e uso";"São Gonçalo";2021-10-05 00:00:00;"Outubro";2021
"56362161-2021";"Arma de fogo";"São Gonçalo";2021-10-05 00:00:00;"Outubro";2021
"43392931-2021";"Recuperação de veículo";"Recreio";2021-10-05 00:00:00;"Outubro";2021
"41327511-2021";"Furto";"Niterói";2021-10-05 00:00:00;"Outubro";2021
"44262281-2021";"Furto de veículo";"São Gonçalo";2021-10-06 00:00:00;"Outubro";2021
"87715761-2021";"Roubo de veículo";"São Gonçalo";2021-10-06 00:00:00;"Outubro";2021
"15613791-2021";"Furto a transeunte";"Barra";2021-10-06 00:00:00;"Outubro";2021
"48754541-2021";"Posse e uso";"Recreio";2021-10-06 00:00:00;"Outubro";2021
"98242021-2021";"Receptação";"Méier";2021-10-06 00:00:00;"Outubro";2021
"12434011-2021";"Posse e uso";"Recreio";2021-10-06 00:00:00;"Outubro";2021
"48787371-2021";"Roubo a transeunte";"São Gonçalo";2021-10-06 00:00:00;"Outubro";2021
"34760431-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-10-06 00:00:00;"Outubro";2021
"84035391-2021";"Mandado de prisão";"Centro";2021-10-06 00:00:00;"Outubro";2021
"33539031-2021";"Furto a estabelecimento comercial";"Barra";2021-10-06 00:00:00;"Outubro";2021
"81198771-2021";"Furto";"Nova Iguaçu";2021-10-06 00:00:00;"Outubro";2021
"44109521-2021";"Posse e uso";"Recreio";2021-10-06 00:00:00;"Outubro";2021
"12894941-2021";"Ameaça";"Copacabana";2021-10-06 00:00:00;"Outubro";2021
"88628251-2021";"Mandado de prisão";"Caxias";2021-10-06 00:00:00;"Outubro";2021
"46519921-2021";"Posse e uso";"Recreio";2021-10-06 00:00:00;"Outubro";2021
"73768331-2021";"Posse e uso";"Recreio";2021-10-06 00:00:00;"Outubro";2021
"83540471-2021";"Receptação";"Nova Iguaçu";2021-10-06 00:00:00;"Outubro";2021
"51028392-2021";"Corrupção";"Niterói";2021-10-06 00:00:00;"Outubro";2021
"55062151-2021";"Posse e uso";"Recreio";2021-10-06 00:00:00;"Outubro";2021
"55746261-2021";"Furto";"Niterói";2021-10-06 00:00:00;"Outubro";2021
"37119071-2021";"Porte de arma branca";"Botafogo";2021-10-06 00:00:00;"Outubro";2021
"16382751-2021";"Mandado de prisão";"São Gonçalo";2021-10-06 00:00:00;"Outubro";2021
"27038621-2021";"Mandado de prisão";"Itaguaí";2021-10-06 00:00:00;"Outubro";2021
"29216201-2021";"Furto";"Barra";2021-10-06 00:00:00;"Outubro";2021
"74189181-2021";"Recuperação de veículo";"Lapa";2021-10-06 00:00:00;"Outubro";2021
"28551001-2021";"Adulteração do sinal identificador de veículo";"Japeri";2021-10-06 00:00:00;"Outubro";2021
"44642211-2021";"Captura de evadido";"Aterro";2021-10-06 00:00:00;"Outubro";2021
"53226111-2021";"Roubo a transeunte";"Barra";2021-10-07 00:00:00;"Outubro";2021
"42323471-2021";"Vias de fato";"Méier";2021-10-07 00:00:00;"Outubro";2021
"19254901-2021";"Apreensão de veículo";"Nova Iguaçu";2021-10-07 00:00:00;"Outubro";2021
"81518071-2021";"Posse e uso";"Laranjeiras";2021-10-07 00:00:00;"Outubro";2021
"64151671-2021";"Posse e uso";"Recreio";2021-10-07 00:00:00;"Outubro";2021
"08087742-2021";"Posse e uso";"Ipanema";2021-10-07 00:00:00;"Outubro";2021
"28176421-2021";"Apreensão de material";"Ipanema";2021-10-07 00:00:00;"Outubro";2021
"70111121-2021";"Furto";"Caxias";2021-10-07 00:00:00;"Outubro";2021
"39450691-2021";"Apreensão de celular";"Barra";2021-10-07 00:00:00;"Outubro";2021
"64887191-2021";"Mandado de prisão";"Méier";2021-10-07 00:00:00;"Outubro";2021
"46494381-2021";"Lesão corporal dolosa";"Caxias";2021-10-07 00:00:00;"Outubro";2021
"18193481-2021";"Mandado de prisão";"Bangu";2021-10-07 00:00:00;"Outubro";2021
"06054661-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-10-07 00:00:00;"Outubro";2021
"80486471-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-10-07 00:00:00;"Outubro";2021
"36403201-2021";"Roubo a estabelecimento comercial";"Caxias";2021-10-07 00:00:00;"Outubro";2021
"73907871-2021";"Mandado de prisão";"Caxias";2021-10-07 00:00:00;"Outubro";2021
"93823891-2021";"Furto a estabelecimento comercial";"Nova Iguaçu";2021-10-07 00:00:00;"Outubro";2021
"14585231-2021";"Mandado de prisão";"Magé E Piabetá";2021-10-07 00:00:00;"Outubro";2021
"38202551-2021";"Captura de evadido";"São Gonçalo";2021-10-07 00:00:00;"Outubro";2021
"19811061-2021";"Roubo de aparelho celular";"Barra";2021-10-08 00:00:00;"Outubro";2021
"84342641-2021";"Furto a estabelecimento comercial";"Barra";2021-10-08 00:00:00;"Outubro";2021
"84071151-2021";"Tráfico de drogas";"Niterói";2021-10-08 00:00:00;"Outubro";2021
"82779031-2021";"Apreensão de celular";"Laranjeiras";2021-10-08 00:00:00;"Outubro";2021
"73591851-2021";"Receptação";"Austin";2021-10-08 00:00:00;"Outubro";2021
"18828031-2021";"Receptação";"Laranjeiras";2021-10-08 00:00:00;"Outubro";2021
"56307371-2021";"Posse e uso";"Centro";2021-10-08 00:00:00;"Outubro";2021
"36625131-2021";"Furto de aparelho de celular";"Copacabana";2021-10-08 00:00:00;"Outubro";2021
