"controle";"tipo_ocorrencia";"base";"data_fato";"mês";"ano"
"95665211-2021";"Lesão corporal";"Grajaú E Vila Isabel";2021-07-06 00:00:00;"Julho";2021
"38011441-2021";"Furto";"Bangu";2021-07-07 00:00:00;"Julho";2021
"94521921-2021";"Tráfico de drogas";"Barra";2021-07-07 00:00:00;"Julho";2021
"67815601-2021";"Roubo a transeunte";"Barra";2021-07-07 00:00:00;"Julho";2021
"81094201-2021";"Mandado de prisão";"Magé E Piabetá";2021-07-07 00:00:00;"Julho";2021
"90472071-2021";"Furto a estabelecimento comercial";"Barra";2021-07-07 00:00:00;"Julho";2021
"45678841-2021";"Apreensão de celular";"Lagoa";2021-07-07 00:00:00;"Julho";2021
"54485731-2021";"Posse e uso";"Recreio";2021-07-07 00:00:00;"Julho";2021
"80347621-2021";"Ameaça";"Laranjeiras";2021-07-07 00:00:00;"Julho";2021
"61558771-2021";"Apreensão de drogas";"Grajaú E Vila Isabel";2021-07-07 00:00:00;"Julho";2021
"47461831-2021";"Resistência";"Centro";2021-07-07 00:00:00;"Julho";2021
"55675971-2021";"Fato atípico";"Japeri";2021-07-07 00:00:00;"Julho";2021
"38819181-2021";"Furto de aparelho de celular";"Centro";2021-07-07 00:00:00;"Julho";2021
"69698971-2021";"Furto de bicicleta";"Tijuca";2021-07-07 00:00:00;"Julho";2021
"16801011-2021";"Furto a estabelecimento comercial";"Caxias";2021-07-07 00:00:00;"Julho";2021
"06616661-2021";"Estelionato";"Laranjeiras";2021-07-07 00:00:00;"Julho";2021
"74343111-2021";"Apreensão de drogas";"Grajaú E Vila Isabel";2021-07-07 00:00:00;"Julho";2021
"77289401-2021";"Posse e uso";"Austin";2021-07-07 00:00:00;"Julho";2021
"31718181-2021";"Posse e uso";"Niterói";2021-07-07 00:00:00;"Julho";2021
"89063151-2021";"Tráfico de drogas";"Japeri";2021-07-07 00:00:00;"Julho";2021
"77277151-2021";"Fato atípico";"Niterói";2021-07-08 00:00:00;"Julho";2021
"26774941-2021";"Furto de aparelho de celular";"Barra";2021-07-08 00:00:00;"Julho";2021
"37421231-2021";"Encontro de cadáver";"Lapa";2021-07-08 00:00:00;"Julho";2021
"34858091-2021";"Furto";"Bangu";2021-07-08 00:00:00;"Julho";2021
"63841981-2021";"Furto a transeunte";"Barra";2021-07-08 00:00:00;"Julho";2021
"95038511-2021";"Posse e uso";"Laranjeiras";2021-07-08 00:00:00;"Julho";2021
"42891991-2021";"Apreensão de veículo";"Paracambi";2021-07-08 00:00:00;"Julho";2021
"82435301-2021";"Furto a estabelecimento comercial";"Leblon";2021-07-08 00:00:00;"Julho";2021
"69095931-2021";"Furto a estabelecimento comercial";"Centro";2021-07-08 00:00:00;"Julho";2021
"68945421-2021";"Desacato";"Centro";2021-07-08 00:00:00;"Julho";2021
"95184421-2021";"Desacato";"Centro";2021-07-08 00:00:00;"Julho";2021
"02563201-2021";"Direção perigosa";"Miguel Pereira";2021-07-08 00:00:00;"Julho";2021
"93571761-2021";"Mandado de prisão";"Bangu";2021-07-08 00:00:00;"Julho";2021
"07034821-2021";"Apreensão de celular";"Méier";2021-07-08 00:00:00;"Julho";2021
"61926021-2021";"Posse e uso";"Ipanema";2021-07-08 00:00:00;"Julho";2021
"23882381-2021";"Furto a estabelecimento comercial";"Copacabana";2021-07-08 00:00:00;"Julho";2021
"95521891-2021";"Estupro";"Aterro";2021-07-08 00:00:00;"Julho";2021
"38753651-2021";"Desacato";"Lapa";2021-07-08 00:00:00;"Julho";2021
"92542151-2021";"Receptação";"Paracambi";2021-07-08 00:00:00;"Julho";2021
"60267821-2021";"Furto de aparelho de celular";"Niterói";2021-07-08 00:00:00;"Julho";2021
"99216901-2021";"Posse e uso";"Miguel Pereira";2021-07-09 00:00:00;"Julho";2021
"63426681-2021";"Mandado de prisão";"Leblon";2021-07-09 00:00:00;"Julho";2021
"22890721-2021";"Furto a estabelecimento comercial";"Barra";2021-07-09 00:00:00;"Julho";2021
"81349691-2021";"Receptação";"Ipanema";2021-07-09 00:00:00;"Julho";2021
"77132431-2021";"Posse e uso";"Centro";2021-07-09 00:00:00;"Julho";2021
"66761101-2021";"Posse e uso";"Recreio";2021-07-09 00:00:00;"Julho";2021
"52217741-2021";"Receptação";"Méier";2021-07-09 00:00:00;"Julho";2021
"77692461-2021";"Furto a estabelecimento comercial";"Tijuca";2021-07-09 00:00:00;"Julho";2021
"43575951-2021";"Captura de evadido";"Caxias";2021-07-09 00:00:00;"Julho";2021
"49355071-2021";"Lesão corporal dolosa";"Centro";2021-07-09 00:00:00;"Julho";2021
"75972211-2021";"Lesão corporal dolosa";"São Gonçalo";2021-07-09 00:00:00;"Julho";2021
"58028631-2021";"Resistência";"Japeri";2021-07-09 00:00:00;"Julho";2021
"81086581-2021";"Mandado de prisão";"Japeri";2021-07-09 00:00:00;"Julho";2021
"10689991-2021";"Apreensão de celular";"Austin";2021-07-09 00:00:00;"Julho";2021
"84617871-2021";"Recuperação de veículo";"São Gonçalo";2021-07-09 00:00:00;"Julho";2021
"02693861-2021";"Furto";"Lapa";2021-07-10 00:00:00;"Julho";2021
"47192461-2021";"Furto a estabelecimento comercial";"Bangu";2021-07-10 00:00:00;"Julho";2021
"14331311-2021";"Recuperação de veículo";"Magé E Piabetá";2021-07-10 00:00:00;"Julho";2021
"83295921-2021";"Furto a transeunte";"Ipanema";2021-07-10 00:00:00;"Julho";2021
"67392681-2021";"Apreensão de veículo";"Bangu";2021-07-10 00:00:00;"Julho";2021
"21393041-2021";"Porte de arma branca";"Botafogo";2021-07-10 00:00:00;"Julho";2021
"89950341-2021";"Roubo de veículo";"Bangu";2021-07-10 00:00:00;"Julho";2021
"80445971-2021";"Apreensão de veículo";"Austin";2021-07-10 00:00:00;"Julho";2021
"81455381-2021";"Posse e uso";"Japeri";2021-07-10 00:00:00;"Julho";2021
"63566881-2021";"Lesão corporal dolosa";"Nova Iguaçu";2021-07-10 00:00:00;"Julho";2021
"92322551-2021";"Apreensão de veículo";"Miguel Pereira";2021-07-10 00:00:00;"Julho";2021
"31434281-2021";"Posse e uso";"Itaguaí";2021-07-10 00:00:00;"Julho";2021
"41530161-2021";"Posse e uso";"Itaguaí";2021-07-10 00:00:00;"Julho";2021
"66579281-2021";"Simulacro";"Niterói";2021-07-10 00:00:00;"Julho";2021
"47127051-2021";"Mandado de prisão";"Copacabana";2021-07-10 00:00:00;"Julho";2021
"06229331-2021";"Direção perigosa";"Niterói";2021-07-10 00:00:00;"Julho";2021
"79988491-2021";"Tráfico de drogas";"Austin";2021-07-10 00:00:00;"Julho";2021
"53806701-2021";"Mandado de prisão";"Niterói";2021-07-10 00:00:00;"Julho";2021
"32752231-2021";"Posse e uso";"Barra";2021-07-10 00:00:00;"Julho";2021
"08899701-2021";"Mandado de prisão";"São Gonçalo";2021-07-10 00:00:00;"Julho";2021
"92875331-2021";"Apreensão de celular";"Méier";2021-07-10 00:00:00;"Julho";2021
"46210511-2021";"Posse e uso";"Japeri";2021-07-10 00:00:00;"Julho";2021
"72671961-2021";"Receptação";"Centro";2021-07-10 00:00:00;"Julho";2021
"59840541-2021";"Posse e uso";"Paracambi";2021-07-10 00:00:00;"Julho";2021
"58350011-2021";"Documento falso";"Nova Iguaçu";2021-07-10 00:00:00;"Julho";2021
"70989981-2021";"Mandado de prisão";"Botafogo";2021-07-10 00:00:00;"Julho";2021
"31905401-2021";"Injúria";"Barra";2021-07-10 00:00:00;"Julho";2021
"75149191-2021";"Roubo a transeunte";"São Gonçalo";2021-07-10 00:00:00;"Julho";2021
"68821761-2021";"Apreensão de veículo";"São Gonçalo";2021-07-10 00:00:00;"Julho";2021
"57838881-2021";"Vias de fato";"Copacabana";2021-07-10 00:00:00;"Julho";2021
"98988112-2021";"Resistência";"Centro";2021-07-10 00:00:00;"Julho";2021
"36167571-2021";"Furto a transeunte";"Copacabana";2021-07-11 00:00:00;"Julho";2021
"58768771-2021";"Apreensão de celular";"Copacabana";2021-07-11 00:00:00;"Julho";2021
"90832831-2021";"Porte de arma branca";"Botafogo";2021-07-11 00:00:00;"Julho";2021
"01368121-2021";"Apreensão de material";"Leblon";2021-07-11 00:00:00;"Julho";2021
"70675511-2021";"Posse e uso";"Recreio";2021-07-11 00:00:00;"Julho";2021
"93680531-2021";"Apreensão de drogas";"Barra";2021-07-11 00:00:00;"Julho";2021
"34655611-2021";"Posse e uso";"Miguel Pereira";2021-07-11 00:00:00;"Julho";2021
"83857721-2021";"Apreensão de veículo";"Caxias";2021-07-11 00:00:00;"Julho";2021
"59374591-2021";"Posse e uso";"Recreio";2021-07-11 00:00:00;"Julho";2021
"87682961-2021";"Posse e uso";"Recreio";2021-07-11 00:00:00;"Julho";2021
"68688181-2021";"Mandado de prisão";"Nova Iguaçu";2021-07-11 00:00:00;"Julho";2021
"24977191-2021";"Fato atípico";"Copacabana";2021-07-11 00:00:00;"Julho";2021
"84775961-2021";"Receptação";"Caxias";2021-07-11 00:00:00;"Julho";2021
"71920301-2021";"Posse e uso";"Recreio";2021-07-11 00:00:00;"Julho";2021
"26662192-2021";"Posse e uso";"Recreio";2021-07-11 00:00:00;"Julho";2021
"81425781-2021";"Apreensão de celular";"Méier";2021-07-11 00:00:00;"Julho";2021
"50508301-2021";"Apreensão de material";"Laranjeiras";2021-07-11 00:00:00;"Julho";2021
"04190901-2021";"Posse e uso";"Recreio";2021-07-11 00:00:00;"Julho";2021
